order_id,brand,product_name,ram,upc,original_price,discount_percent,final_price,rating,reviews_count,quantity_sold,city,order_date,purchase_link
100000,Apple,iPhone 11,6 GB,MOBQVH894R9,39999,8,36799,4.4,612,3,Chennai,2024-06-26,https://www.flipkart.com/search?q=iPhone+11
100001,Apple,iPhone 11 Pro Max,8 GB,MOB2QXVGPPZ,74999,0,74999,4.8,3122,1,Bangalore,2024-06-11,https://www.flipkart.com/search?q=iPhone+11+Pro+Max
100002,Apple,iPhone 13,8 GB,MOBJNWBFM8V,59999,6,56399,4.5,1958,4,Ahmedabad,2024-09-30,https://www.flipkart.com/search?q=iPhone+13
100003,Apple,iPhone 14 Pro Max,6 GB,MOB7WOHQJEX,129999,16,109199,4.1,2623,3,Jaipur,2023-11-29,https://www.flipkart.com/search?q=iPhone+14+Pro+Max
100004,Apple,iPhone 15 Plus,8 GB,MOB7T2SR2UJ,89999,2,88199,4.6,4879,2,Hyderabad,2023-04-09,https://www.flipkart.com/search?q=iPhone+15+Plus
100005,Apple,iPhone 14,8 GB,MOBBZS59AFE,69999,19,56699,4.6,2972,4,Pune,2023-03-25,https://www.flipkart.com/search?q=iPhone+14
100006,Apple,iPhone 12 Mini,6 GB,MOBNTN2QSEX,45999,10,41399,3.8,4528,2,Ahmedabad,2024-01-19,https://www.flipkart.com/search?q=iPhone+12+Mini
100007,Apple,iPhone 14 Pro Max,6 GB,MOBCIZKJF6P,129999,14,111799,4,1308,2,Kolkata,2024-05-29,https://www.flipkart.com/search?q=iPhone+14+Pro+Max
100008,Apple,iPhone 13 Pro,8 GB,MOBJ6ANXA8R,89999,18,73799,3.8,56,2,Hyderabad,2023-05-22,https://www.flipkart.com/search?q=iPhone+13+Pro
100009,Apple,iPhone 13 Pro,4 GB,MOBFN3Z6I2V,89999,4,86399,4.7,1822,1,Bangalore,2024-11-23,https://www.flipkart.com/search?q=iPhone+13+Pro
100010,Apple,iPhone 15 Pro Max,6 GB,MOBFXZ245ZJ,159900,10,143910,4.8,1995,3,Pune,2024-05-21,https://www.flipkart.com/search?q=iPhone+15+Pro+Max
100011,Apple,iPhone 11 Pro Max,6 GB,MOBJD497GEU,74999,7,69749,4.5,2198,4,Delhi,2023-12-11,https://www.flipkart.com/search?q=iPhone+11+Pro+Max
100012,Apple,iPhone 15 Plus,6 GB,MOB5SVCGWRW,89999,20,71999,3.9,1733,5,Lucknow,2023-07-02,https://www.flipkart.com/search?q=iPhone+15+Plus
100013,Apple,iPhone 15 Pro,6 GB,MOBUXB1UX60,134900,6,126806,4.5,4162,3,Mumbai,2024-08-14,https://www.flipkart.com/search?q=iPhone+15+Pro
100014,Apple,iPhone 15 Pro,6 GB,MOBLYW86ABT,134900,7,125456,4.4,3485,5,Ahmedabad,2024-11-19,https://www.flipkart.com/search?q=iPhone+15+Pro
100015,Apple,iPhone 14 Pro,4 GB,MOBPW08CH26,119999,2,117599,3.8,67,3,Hyderabad,2023-08-24,https://www.flipkart.com/search?q=iPhone+14+Pro
100016,Apple,iPhone 12 Pro Max,6 GB,MOBY1DZBSL7,84999,2,83299,4.3,4097,3,Kolkata,2023-08-01,https://www.flipkart.com/search?q=iPhone+12+Pro+Max
100017,Apple,iPhone 12,4 GB,MOBVA31GVX5,49999,4,47999,4,1193,4,Kolkata,2024-05-11,https://www.flipkart.com/search?q=iPhone+12
100018,Apple,iPhone 11,6 GB,MOBFQMK74WY,39999,4,38399,4.3,3843,1,Lucknow,2023-08-25,https://www.flipkart.com/search?q=iPhone+11
100019,Apple,iPhone 12 Mini,4 GB,MOBAKVKARAA,45999,8,42319,4.6,4487,4,Pune,2024-05-30,https://www.flipkart.com/search?q=iPhone+12+Mini
100020,Apple,iPhone 14,8 GB,MOBVSGAXEZF,69999,4,67199,4,2713,3,Chennai,2023-05-30,https://www.flipkart.com/search?q=iPhone+14
100021,Apple,iPhone 11 Pro,4 GB,MOBTZ9E2XYR,69999,12,61599,3.9,3035,5,Lucknow,2024-10-10,https://www.flipkart.com/search?q=iPhone+11+Pro
100022,Apple,iPhone 14,4 GB,MOB3Y7RTKZF,69999,19,56699,4.6,1368,3,Mumbai,2023-08-11,https://www.flipkart.com/search?q=iPhone+14
100023,Apple,iPhone 14,8 GB,MOBSVECSJEL,69999,4,67199,4.6,464,2,Lucknow,2024-12-26,https://www.flipkart.com/search?q=iPhone+14
100024,Apple,iPhone 12 Pro,6 GB,MOBVGRQWARZ,79999,8,73599,3.9,4416,5,Bangalore,2024-08-29,https://www.flipkart.com/search?q=iPhone+12+Pro
100025,Apple,iPhone 15 Pro Max,6 GB,MOBEGZ6X690,159900,13,139113,4,2857,2,Bangalore,2024-10-11,https://www.flipkart.com/search?q=iPhone+15+Pro+Max
100026,Apple,iPhone 14 Pro Max,8 GB,MOBX7DE4PS0,129999,3,126099,4,4369,4,Hyderabad,2024-04-13,https://www.flipkart.com/search?q=iPhone+14+Pro+Max
100027,Apple,iPhone 12 Mini,4 GB,MOBEA4TWSM2,45999,10,41399,4.9,1297,3,Mumbai,2023-03-22,https://www.flipkart.com/search?q=iPhone+12+Mini
100028,Apple,iPhone 15 Pro,8 GB,MOBK9GI6VSE,134900,17,111967,3.9,4495,1,Chennai,2023-05-13,https://www.flipkart.com/search?q=iPhone+15+Pro
100029,Apple,iPhone 13 Mini,4 GB,MOBQCJQOLR5,54999,7,51149,3.9,235,2,Jaipur,2024-10-21,https://www.flipkart.com/search?q=iPhone+13+Mini
100030,Apple,iPhone 13 Pro,4 GB,MOBETD3ST03,89999,5,85499,4.2,4058,4,Ahmedabad,2024-11-03,https://www.flipkart.com/search?q=iPhone+13+Pro
100031,Apple,iPhone 12 Pro Max,4 GB,MOB64WS9M4W,84999,1,84149,4.2,3520,3,Jaipur,2023-01-04,https://www.flipkart.com/search?q=iPhone+12+Pro+Max
100032,Apple,iPhone 12 Mini,4 GB,MOB1TCOTU6H,45999,8,42319,4.1,4757,5,Kolkata,2023-10-02,https://www.flipkart.com/search?q=iPhone+12+Mini
100033,Apple,iPhone 12 Pro Max,8 GB,MOBXXDMWW6K,84999,1,84149,4.3,2641,5,Lucknow,2023-10-21,https://www.flipkart.com/search?q=iPhone+12+Pro+Max
100034,Apple,iPhone 12 Pro,6 GB,MOBFHMZQWB8,79999,4,76799,4.8,4338,1,Bangalore,2024-10-16,https://www.flipkart.com/search?q=iPhone+12+Pro
100035,Apple,iPhone 12 Pro Max,8 GB,MOBXY4ESVOT,84999,13,73949,4.8,659,4,Jaipur,2024-10-18,https://www.flipkart.com/search?q=iPhone+12+Pro+Max
100036,Apple,iPhone 14 Plus,6 GB,MOBTSXEM2UX,74999,2,73499,3.9,3234,2,Bangalore,2023-04-14,https://www.flipkart.com/search?q=iPhone+14+Plus
100037,Apple,iPhone 11 Pro Max,4 GB,MOBR76PRFC0,74999,8,68999,4.5,708,3,Kolkata,2023-04-15,https://www.flipkart.com/search?q=iPhone+11+Pro+Max
